; compare-matrices  -v 1 -mode matches -format1 transfac -file1 $RSAT/public_html/tmp/www-data/2024/03/21/peak-motifs.2024-03-21.023305_2024-03-21.023305_6q7FSY/results/discovered_motifs/peak-motifs_motifs_discovered.tf -format2 tf -file2 $RSAT/public_html/motif_databases/JASPAR/Jaspar_2020/nonredundant/JASPAR2020_CORE_vertebrates_non-redundant_pfms.tf -mode matches -strand DR -uth offset_rank 1 -lth w 5 -lth Wr 0.3 -lth cor 0.7 -lth Ncor 0.4 -return matrix_name,matrix_id,cor,Ncor,width,strand,offset,alignments_1ton -sort Ncor -quick -o $RSAT/public_html/tmp/www-data/2024/03/21/peak-motifs.2024-03-21.023305_2024-03-21.023305_6q7FSY/results/discovered_vs_db/peak-motifs_motifs_vs_db_jaspar_core_nonredundant_vertebrates.tab
; Program version       	1.118
; Quick mode 
; Input files
;	file2 	/opt/rsat-tools/rsat/public_html/motif_databases/JASPAR/Jaspar_2020/nonredundant/JASPAR2020_CORE_vertebrates_non-redundant_pfms.tf
;	file1 	/opt/rsat-tools/rsat/public_html/tmp/www-data/2024/03/21/peak-motifs.2024-03-21.023305_2024-03-21.023305_6q7FSY/results/discovered_motifs/peak-motifs_motifs_discovered.tf
; Output files
;	alignments_1ton_html	/opt/rsat-tools/rsat/public_html/tmp/www-data/2024/03/21/peak-motifs.2024-03-21.023305_2024-03-21.023305_6q7FSY/results/discovered_vs_db/peak-motifs_motifs_vs_db_jaspar_core_nonredundant_vertebrates_alignments_1ton.html
;	html_index   	/opt/rsat-tools/rsat/public_html/tmp/www-data/2024/03/21/peak-motifs.2024-03-21.023305_2024-03-21.023305_6q7FSY/results/discovered_vs_db/peak-motifs_motifs_vs_db_jaspar_core_nonredundant_vertebrates_index.html
;	prefix       	/opt/rsat-tools/rsat/public_html/tmp/www-data/2024/03/21/peak-motifs.2024-03-21.023305_2024-03-21.023305_6q7FSY/results/discovered_vs_db/peak-motifs_motifs_vs_db_jaspar_core_nonredundant_vertebrates
;	match_table_txt	/opt/rsat-tools/rsat/public_html/tmp/www-data/2024/03/21/peak-motifs.2024-03-21.023305_2024-03-21.023305_6q7FSY/results/discovered_vs_db/peak-motifs_motifs_vs_db_jaspar_core_nonredundant_vertebrates.tab
;	match_table_html	/opt/rsat-tools/rsat/public_html/tmp/www-data/2024/03/21/peak-motifs.2024-03-21.023305_2024-03-21.023305_6q7FSY/results/discovered_vs_db/peak-motifs_motifs_vs_db_jaspar_core_nonredundant_vertebrates.html
;	alignments_1ton	/opt/rsat-tools/rsat/public_html/tmp/www-data/2024/03/21/peak-motifs.2024-03-21.023305_2024-03-21.023305_6q7FSY/results/discovered_vs_db/peak-motifs_motifs_vs_db_jaspar_core_nonredundant_vertebrates_alignments_1ton.tab
; Matrices
;	file1	20 matrices	/opt/rsat-tools/rsat/public_html/tmp/www-data/2024/03/21/peak-motifs.2024-03-21.023305_2024-03-21.023305_6q7FSY/results/discovered_motifs/peak-motifs_motifs_discovered.tf
;		file1	1	13	4171
;		file1	2	17	2547
;		file1	3	10	2277
;		file1	4	11	3679
;		file1	5	10	1946
;		file1	6	24	2314
;		file1	7	20	819
;		file1	8	24	368
;		file1	9	24	175
;		file1	10	19	2127
;		file1	11	14	4517
;		...	10 more matrices
;	file2	746 matrices	/opt/rsat-tools/rsat/public_html/motif_databases/JASPAR/Jaspar_2020/nonredundant/JASPAR2020_CORE_vertebrates_non-redundant_pfms.tf
;		file2		1		6		24
;		file2		2		17		100
;		file2		3		10		9897
;		file2		4		17		101
;		file2		5		17		3851
;		file2		6		10		25318
;		file2		7		6		27
;		file2		8		11		1001
;		file2		9		14		101
;		file2		10		6		20
;		file2		11		8		104
;		...	736 more matrices
; Column content
;	1	id1          	Identifier of the first matrix
;	2	id2          	Identifier of the second matrix
;	3	name1        	Name of the first matrix
;	4	name2        	Name of the second matrix
;	5	cor          	Pearson coefficient of correlation between frequency matrices
;	6	Ncor         	Normalized correlation. Ncor = cor * Wr
;	7	w1           	Width of the first matrix
;	8	w2           	Width of the second matrix
;	9	w            	Alignment length (number of overlapping columns between matrix 1 and matrix 2, as a function of the offset)
;	10	W            	Total alignment length (overlapping + non-overlapping columns). W = w1 + w2 - w
;	11	Wr           	Relative alignment length (overlap divided by the total alignemnt length). Wr = w/W
;	12	wr1          	Alignment length relative to the width of the first matrix. wr1 = w/w1
;	13	wr2          	Alignment length relative to the width of the second matrix. wr2 = w/w2
;	14	strand       	"strand", i.e. orientation of matrix 2 relative to matrix 1 (D=direct;  R=reverse)
;	15	offset       	shift of the second matrix relative to the first matrix (negative:left; positive: right)
#id1	id2	name1	name2	cor	Ncor	w1	w2	w	W	Wr	wr1	wr2	strand	offset
oligos_6nt_mkv4_m1	MA1102.2	oligos_6nt_mkv4_m1oligos_6nt_mkv4_m1	CTCFL	0.974	0.899	13	12	12	13	0.9231	0.9231	1.0000	D	0
oligos_7nt_mkv5_m3	MA0039.4	oligos_7nt_mkv5_m3oligos_7nt_mkv5_m3	KLF4	0.939	0.861	11	12	11	12	0.9167	1.0000	0.9167	D	-1
oligos_6nt_mkv4_m2	MA0139.1	oligos_6nt_mkv4_m2oligos_6nt_mkv4_m2	CTCF	0.952	0.852	17	19	17	19	0.8947	1.0000	0.8947	D	-1
oligos_7nt_mkv5_m3	MA1513.1	oligos_7nt_mkv5_m3oligos_7nt_mkv5_m3	KLF15	0.831	0.831	11	11	11	11	1.0000	1.0000	1.0000	D	0
oligos_7nt_mkv5_m1	MA1102.2	oligos_7nt_mkv5_m1oligos_7nt_mkv5_m1	CTCFL	0.964	0.826	14	12	12	14	0.8571	0.8571	1.0000	R	1
oligos_7nt_mkv5_m3	MA0599.1	oligos_7nt_mkv5_m3oligos_7nt_mkv5_m3	KLF5	0.872	0.793	11	10	10	11	0.9091	0.9091	1.0000	D	0
oligos_7nt_mkv5_m3	MA1511.1	oligos_7nt_mkv5_m3oligos_7nt_mkv5_m3	KLF10	0.768	0.768	11	11	11	11	1.0000	1.0000	1.0000	D	0
oligos_7nt_mkv5_m4	MA1102.2	oligos_7nt_mkv5_m4oligos_7nt_mkv5_m4	CTCFL	0.900	0.762	12	12	11	13	0.8462	0.9167	0.9167	D	-1
positions_6nt_m1	MA0139.1	positions_6nt_m1positions_6nt_m1	CTCF	0.951	0.753	24	19	19	24	0.7917	0.7917	1.0000	D	3
positions_7nt_m5	MA0139.1	positions_7nt_m5positions_7nt_m5	CTCF	0.938	0.743	24	19	19	24	0.7917	0.7917	1.0000	D	3
oligos_7nt_mkv5_m3	MA0741.1	oligos_7nt_mkv5_m3oligos_7nt_mkv5_m3	KLF16	0.740	0.740	11	11	11	11	1.0000	1.0000	1.0000	D	0
oligos_7nt_mkv5_m2	MA1102.2	oligos_7nt_mkv5_m2oligos_7nt_mkv5_m2	CTCFL	0.841	0.721	14	12	12	14	0.8571	0.8571	1.0000	D	1
oligos_6nt_mkv4_m4	MA0103.3	oligos_6nt_mkv4_m4oligos_6nt_mkv4_m4	ZEB1	0.716	0.716	11	11	11	11	1.0000	1.0000	1.0000	D	0
positions_7nt_m2	MA0139.1	positions_7nt_m2positions_7nt_m2	CTCF	0.901	0.713	24	19	19	24	0.7917	0.7917	1.0000	D	0
oligos_7nt_mkv5_m3	MA1512.1	oligos_7nt_mkv5_m3oligos_7nt_mkv5_m3	KLF11	0.705	0.705	11	11	11	11	1.0000	1.0000	1.0000	D	0
oligos_7nt_mkv5_m3	MA1653.1	oligos_7nt_mkv5_m3oligos_7nt_mkv5_m3	ZNF148	0.769	0.705	11	12	11	12	0.9167	1.0000	0.9167	D	-1
positions_7nt_m4	MA0139.1	positions_7nt_m4positions_7nt_m4	CTCF	0.956	0.688	24	19	18	25	0.7200	0.7500	0.9474	R	6
oligos_7nt_mkv5_m3	MA1515.1	oligos_7nt_mkv5_m3oligos_7nt_mkv5_m3	KLF2	0.800	0.666	11	11	10	12	0.8333	0.9091	0.9091	D	-1
oligos_7nt_mkv5_m3	MA0493.1	oligos_7nt_mkv5_m3oligos_7nt_mkv5_m3	Klf1	0.796	0.664	11	11	10	12	0.8333	0.9091	0.9091	D	-1
oligos_7nt_mkv5_m2	MA0139.1	oligos_7nt_mkv5_m2oligos_7nt_mkv5_m2	CTCF	0.891	0.656	14	19	14	19	0.7368	1.0000	0.7368	D	-4
oligos_7nt_mkv5_m3	MA1564.1	oligos_7nt_mkv5_m3oligos_7nt_mkv5_m3	SP9	0.715	0.656	11	12	11	12	0.9167	1.0000	0.9167	D	0
oligos_6nt_mkv4_m1	MA0155.1	oligos_6nt_mkv4_m1oligos_6nt_mkv4_m1	INSM1	0.834	0.656	13	12	11	14	0.7857	0.8462	0.9167	D	-1
oligos_7nt_mkv5_m1	MA0155.1	oligos_7nt_mkv5_m1oligos_7nt_mkv5_m1	INSM1	0.745	0.639	14	12	12	14	0.8571	0.8571	1.0000	R	2
oligos_7nt_mkv5_m1	MA0139.1	oligos_7nt_mkv5_m1oligos_7nt_mkv5_m1	CTCF	0.865	0.638	14	19	14	19	0.7368	1.0000	0.7368	R	-1
oligos_6nt_mkv4_m1	MA0139.1	oligos_6nt_mkv4_m1oligos_6nt_mkv4_m1	CTCF	0.909	0.622	13	19	13	19	0.6842	1.0000	0.6842	D	-5
